40,40
40,80
40,120
40,160
40,200
40,240
40,280
40,320
40,360
70,40
70,200
70,360
100,40
100,80
100,160
100,200
100,240
100,320
100,360
130,80
130,160
130,200
130,240
130,320
160,80
160,160
160,240
160,320
190,80
190,160
190,240
190,320
220,40
220,80
220,120
220,160
220,240
220,280
220,320
220,360
250,40
250,360
295,40
295,80
295,120
295,160
295,240
295,280
295,320
295,360
340,40
340,360
380,40
380,80
380,120
380,160
380,240
380,280
380,320
380,360
420,80
420,160
420,240
420,320
460,80
460,160
460,200
460,240
460,320
490,40
490,80
490,160
490,200
490,240
490,320
490,360
520,40
520,200
520,360
560,40
560,80
560,120
560,160
560,200
560,240
560,280
560,320
560,360
